,park_id,time
69,10118020620042201000,2020-12-04 12
115,10118020620042201000,2020-12-04 12
131,10118020620042201000,2020-12-04 12
171,10118020620042201000,2020-12-04 12
413,10118020620042201000,2020-12-04 13
476,10118020620042201000,2020-12-04 13
575,10118020620042201000,2020-12-04 13
777,10118020620042201000,2020-12-04 13
807,10118020620042201000,2020-12-04 14
840,10118020620042201000,2020-12-04 14
1065,10118020620042201000,2020-12-04 14
1406,10118020620042201000,2020-12-04 15
1416,10118020620042201000,2020-12-04 15
1421,10118020620042201000,2020-12-04 15
1536,10118020620042201000,2020-12-04 15
1592,10118020620042201000,2020-12-04 15
1694,10118020620042201000,2020-12-04 15
1770,10118020620042201000,2020-12-04 15
1820,10118020620042201000,2020-12-04 15
